question,code,strategy,answer,error,total_tokens,grounding_score,retrieved_codes,hit,answer_chars,relevance,relevance_explanation
How many calories are there in 100 grams of madeleines pur beurre?,3286790100350,basic,The number of calories in 100 grams of madeleines pur beurre (8 madeleines pur beurre by Astruc patisserie) is 464 kcal.,,1538,1.0,3286790100350|3701005300047|3222475326547|3171910601070|3259426033599,True,120,RELEVANT,The generated answer accurately provides the calorie content for 100 grams of madeleines pur beurre.
Is there soy in Iceland's Katsu Chicken Breast Fillets?,5010482789572,basic,"Yes, Iceland's Katsu Chicken Breast Fillets contain soybeans as an allergen.",,1667,,5010482789572|5010482833879|5010482632809|0196633934901|5057172606269,True,76,RELEVANT,"The answer directly confirms that Iceland's Katsu Chicken Breast Fillets contain soybeans, addressing the question appropriately."
What are the ingredients in Carrefour's Papillotes Tattoo Chocolat au lait?,3560071301170,basic,"The ingredients in Carrefour's Papillotes Tattoo Chocolat au lait are: Sucre, lait entier en poudre, beurre de cacao, graisses végétales (palmiste, palme), pâte de cacao, céréales croustillantes (farine de riz, farine de blé, gluten de blé, sucre, malt de blé, émulsifiant : lécithines, sel), lactose, pâte de noisettes, pâte d'amandes, lactosérum en poudre, huile végétale de tournesol, émulsifiant : lécithines, cacao maigre en poudre, arômes, lait écrémé en poudre, matière grasse de lait anhydre. 

It may contain traces of eggs and other nuts.",,1593,,3560071301170|3245412418020|3270190182603|5400101223776|3664346300216,True,548,RELEVANT,"The generated answer fully lists the ingredients of Carrefour's Papillotes Tattoo Chocolat au lait, thereby directly answering the question."
Is there any sulphur dioxide in the pork hamburger by Carnes Portugal?,5608247000941,basic,"Yes, the pork hamburger by Carnes Portugal contains sulphur dioxide as it lists preservatives E221 and E224, which contain sulphites.",,1393,,5608247000941|233039790000100229002299|8410320001496|4056489140320|3018170403139,True,133,RELEVANT,The generated answer fully addresses the question by confirming the presence of sulphur dioxide in the pork hamburger and providing specific details about the preservatives involved.
Can I find a smoked fish product that contains only salmon and salt?,8718265753600,basic,"Yes, you can find a smoked fish product that contains only salmon and salt. Product 4, ""Saumon atlantique (Salmo salar)"" from Migros, contains only ""Saumon Atlantique (Salmo salar)"" and ""sel de cuisine"" (cooking salt).",,1251,1.0,8413080009474|3033610074861|3038680055765|7613269481560|5000169473795,False,218,RELEVANT,The generated answer fully addresses the question by confirming the existence of a smoked fish product containing only salmon and salt.
What is the protein content per 100g in Cora's Cocktail de Graines Salées?,3257980529046,basic,The protein content per 100g in Cora's Cocktail de Graines Salées is 22.8 g.,,1216,1.0,3257980529046|3257987675753|4333465847559|6007812003384|3222472454625,True,76,RELEVANT,The generated answer fully provides the protein content per 100g for Cora's Cocktail de Graines Salées.
Are there any gluten-containing ingredients in Dobry Chrup by Lajkonik?,5900320011036,basic,"Yes, Dobry Chrup by Lajkonik contains gluten-containing ingredients, specifically wheat flour and wheat gluten.",,1492,,5900320011036|20756215|5901204000733|5902332104355|5900300512256,True,111,RELEVANT,The generated answer fully answers the question by confirming the presence of gluten-containing ingredients in Dobry Chrup by Lajkonik.
Does LM Sandwich's light salad contain gluten?,8437000199038,basic,"Yes, LM Sandwich's light salad contains gluten.",,2268,,8437000199038|00680158|3700009281246|00028035|4061459956573,True,47,RELEVANT,The answer directly addresses the question by stating that LM Sandwich's light salad contains gluten.
Is there any milk allergen in the Desserts Collection?,5390394010545,basic,"Yes, the Desserts Collection contains a milk allergen.",,1947,,5390394010545|3415581162714|3033491987373|0036632072993|29065165,True,54,RELEVANT,The generated answer fully addresses the question by confirming the presence of a milk allergen in the Desserts Collection.
What is the calorie count per 100g for the feta and olive salad by M&S Food?,00153782,basic,The calorie count per 100g for the feta and olive salad by M&S Food is 136 kcal.,,1529,1.0,00153782|00920957|29456871|29087259|29339792,True,80,RELEVANT,The generated answer fully answers the question by providing the calorie count per 100g for the feta and olive salad by M&S Food.
What are the ingredients in Paysan Breton's Fromage Le Petit Moulé Nature?,3236240070702,basic,"The ingredients in Paysan Breton's Fromage Le Petit Moulé Nature are: babeurre, crème et lait écrémé pasteurisés, sel, babeurre déshydraté, protéines laitières, ferments lactiques.",,1077,,3236240070702|3701002401686|2006050128396|3273220441404|3060921463060,True,180,RELEVANT,The generated answer fully lists the ingredients of Paysan Breton's Fromage Le Petit Moulé Nature.
What are the ingredients in PICARD's cashew nuts with pepper and salt?,3270160854400,basic,"The ingredients in PICARD's cashew nuts with pepper and salt are: Noix de cajou, poivre, sel, stabilisant: gomme d'acacia.",,1356,,3270160854400|3564700011270|3270160742257|5060367181823|0196633976796,True,122,RELEVANT,The generated answer fully lists the ingredients in PICARD's cashew nuts with pepper and salt.
Is there any goat cheese in Rana's pasta meals?,8001665725910,basic,"Yes, Rana's pasta meal ""FROMAGE DE CHÈVRE & OIGNONS CARAMÉLISÉS"" contains goat cheese (fromage de chèvre) at 6%.",,1469,1.0,8001665725910|80784258|8001665710299|8001665704007|8001665124010,True,112,RELEVANT,The generated answer fully answers the question by confirming that Rana's pasta meal contains goat cheese and providing specific details about the product.
How much fat is in a serving of Sun Chips?,0008400048028,basic,"A serving of Sun Chips (1.5 oz) contains approximately 9.5 g of fat, based on the nutrition per 100g (21.1644 g of fat) and the serving size proportion.",,1161,1.0,0008400048028|4260353173493|0850059916018|0071026005201|8906076133265,True,152,RELEVANT,"The answer accurately provides the amount of fat in a serving of Sun Chips, fulfilling the question's requirement."
What vegan nuggets are made by Soto?,4026584143618,basic,"The vegan nuggets made by Soto are called ""Végé Nuggets.""",,1800,,4026584143618|8445290707352|8445290062208|4335619249493|4260019320490,True,57,RELEVANT,The generated answer fully answers the question by providing the name of the vegan nuggets made by Soto.
Are there any sugars in Planet's hulled hemp seeds?,4779035851104,basic,"Yes, Planet's hulled hemp seeds contain 1.4 g of sugars per 100 g.",,1217,1.0,0851770008877|4081234701853|4779035851104|0079893114378|0850047220059,True,66,RELEVANT,The generated answer fully provides the information about the sugar content in Planet's hulled hemp seeds.
What are the main ingredients in Picard's chocolate mini-merveilleux?,3270160822720,basic,"The main ingredients in Picard's chocolate mini-merveilleux are:

- Crème liquide (liquid cream) 29.9%
- Copeau de chocolat (chocolate shavings) 22.4%
- Chocolat noir (dark chocolate) 12.7%
- Sucre (sugar)
- Sucre liquide (liquid sugar)
- Jaune d'œuf (egg yolk) 4.4%
- Blanc d'œuf (egg white) 3.9%
- Lait entier (whole milk)
- Crème fraîche épaisse (thick fresh cream)
- Eau (water)
- Chocolat en poudre (cocoa powder) 0.8%
- Cacao en poudre (cocoa)
- Sirop de glucose en poudre (glucose syrup powder)
- Cacao maigre en poudre (defatted cocoa powder)
- Gélifiant (gelling agent): pectines",,2041,0.333,3270160822720|3270160827244|3421371518081|7622210333179|0215419016409,True,588,RELEVANT,The generated answer provides a comprehensive list of the main ingredients in Picard's chocolate mini-merveilleux.
What is the protein content in Mon Cordon bleu de dinde by Royal Bernard?,3276280086332,basic,The protein content in Mon Cordon bleu de dinde by Royal Bernard is 20 g per 100g.,,1974,1.0,3276280086332|3378740534787|3350030141240|3276288400017|3266980517144,True,82,RELEVANT,"The generated answer provides the exact protein content for Mon Cordon bleu de dinde by Royal Bernard, fully addressing the question."
What are the main ingredients in AH's Salade Specialiteit RUNDVLEES?,8719587095478,basic,"The main ingredients in AH's Salade Specialiteit RUNDVLEES are:

- 43% aardappel
- Groente (wortel, ui, doperwt)
- 11% rundvlees
- Plantaardige olie (raap, zonnebloem)
- Water
- Augurk
- Suiker
- Zilverui
- Zout
- Vrije-uitloopeigeel
- Azijn
- Zetmeel (mais, aardappel)

Additional ingredients include conserveermiddel, kruiden, and others.",,1972,0.5,8719587095478|8710400042907|8710400481713|8718906151758|8719587095546,True,340,RELEVANT,"The generated answer fully lists the main ingredients in AH's Salade Specialiteit RUNDVLEES, directly addressing the question."
"What is the fruit content in Bioitalia's organic apple, strawberry, and banana puree?",0661475202049,basic,"The fruit content in Bioitalia's organic apple, strawberry, and banana puree is as follows: 
- Apple: 70%
- Strawberry: 20%
- Banana: 10%",,1197,1.0,0661475202049|0810387023079|0890000001417|3256222006260|4058172843167,True,137,RELEVANT,"The generated answer fully provides the specific fruit content percentages for each component in Bioitalia's organic apple, strawberry, and banana puree."
What are the nutritional values per 100g for the GREENLAND champignons?,26034515,basic,"The nutritional values per 100g for the GREENLAND champignons are as follows:

- Energy: 19 kcal
- Fat: 0.5 g
- Saturated fat: 0.1 g
- Carbohydrates: 0.5 g
- Sugars: 0.5 g
- Fiber: 2.8 g
- Protein: 2.1 g
- Salt: 0.45 g",,1372,1.0,26034515|90364051|3263851505415|4005979000576|4056489514558,True,218,RELEVANT,The generated answer fully provides the nutritional values per 100g for GREENLAND champignons.
Does Loyd Grossman's Korma Sauce contain any allergens?,5000354159558,basic,"Yes, Loyd Grossman's Korma Sauce contains the allergens milk and nuts.",,1502,,5000354159558|5011308505017|8712100698514|5011308505123|5052675000965,True,70,RELEVANT,The generated answer fully addresses the question by correctly identifying the allergens present in Loyd Grossman's Korma Sauce.
How many calories are in Aroy-D's sauce sucrée pimentée pour poulet?,0016229905248,basic,The Aroy-D's Sauce Sucrée Pimentée Pour Poulet contains 275 kcal per 100g.,,1028,1.0,0016229905248|8850344000868|0084909000545|9556041608770|3661945210014,True,74,RELEVANT,The generated answer fully answers the question by providing the calorie content of Aroy-D's sauce per 100g.
Is the micronized creatine powder from Sports Research gluten-free?,0023249093367,basic,"Yes, the micronized creatine powder from Sports Research is gluten-free.",,1001,,0023249093367|3608418898461|0198168959220|0850243008796|4260282014232,True,72,RELEVANT,The generated answer fully answers the question by confirming that the micronized creatine powder from Sports Research is gluten-free.
Does the Praise deli style olive oil vinaigrette contain any allergens?,9310047216847,basic,"The Praise deli style olive oil vinaigrette contains the following allergens: eggs, milk, and soybeans.",,1295,,9310047216847|4061458073318|8712100694509|5018374037091|3261415150101,True,103,RELEVANT,The generated answer fully addresses the question by listing the allergens contained in the Praise deli style olive oil vinaigrette.
How many calories are in Miel de fleurs des Cevennes by Verfeuille?,3527860000492,basic,The Miel de fleurs des Cevennes by Verfeuille contains 327 kcal per 100g.,,1051,1.0,3527860000492|3760121219527|3335440071035|3532090010098|20001056,True,73,RELEVANT,"The answer fully provides the calorie content of Miel de fleurs des Cevennes by Verfeuille, directly addressing the question."
How much fat is there in 100 grams of Edeka Dijon mustard?,4311501641996,basic,Edeka Dijon mustard contains 12 g of fat per 100 grams.,,1195,1.0,4311501641996|3250390632245|4104720014104|5051140474201|3760151014468,True,55,NON_RELEVANT,"The generated answer incorrectly states the fat content, as Edeka Dijon mustard typically contains around 3.5 g of fat per 100 grams."
What sweet snacks from Astruc Patisserie contain eggs and gluten?,3286790100350,basic,"The sweet snacks from Astruc Patisserie that contain eggs and gluten are the ""8 madeleines pur beurre.""",,2057,1.0,3760266590086|3286790100350|3567747050172|3596710556144|3270190182603,True,103,RELEVANT,"The answer provides a specific snack from Astruc Patisserie that contains both eggs and gluten, fully addressing the question."
Are there any added sugars in Fiddler's Lancashire Crisps Sea Salt?,5060255520062,basic,"No, Fiddler's Lancashire Crisps Sea Salt does not contain added sugars. It has 0.1 g of sugars per 100 g, indicating minimal natural sugars from the potatoes.",,1376,1.0,5060255520062|4800449556450|5060040256992|5016451212270|5063089654552,True,158,RELEVANT,"The answer clearly states that there are no added sugars in the product, effectively addressing the question."
How many calories are there in 100g of Harvest Crunch granola from Quaker?,0055577105429,basic,There are 444.444 calories in 100g of Harvest Crunch granola from Quaker.,,1374,1.0,0055577105429|0030000563328|4056489897606|0016000432697|0058449771807,True,73,RELEVANT,"The generated answer provides the specific calorie count for 100g of Harvest Crunch granola from Quaker, fully addressing the question."
What are the nutritional values per 100g for Planet brand hemp seeds?,4779035851104,basic,"The nutritional values per 100g for Planet brand hemp seeds are as follows:

- Energy: 606 kcal
- Fat: 50 g
- Saturated fat: 5.1 g
- Carbohydrates: 3.3 g
- Sugars: 1.4 g
- Fiber: 3 g
- Protein: 36 g
- Salt: 0 g",,1017,1.0,4779035851104|0851770008877|5060427570338|0026200117713|5412500551534,True,210,RELEVANT,The generated answer fully provides the nutritional values per 100g for Planet brand hemp seeds.
Can you tell me the ingredients of Calippo ice pops?,8711327580244,basic,"The ingredients of Calippo ice pops are: water, orange juice from concentrate (20%), glucose syrup, sugar, apple juice from concentrate (6%), fructose, soluble fibre, acidity regulator (citric acid), stabilisers (tara gum, locust bean gum), colours (paprika extract, curcumin), flavouring. May contain milk. Gluten free.",,2034,1.0,8711327580244|0041548000039|0058779399832|8719325110814|0069052129626,True,320,RELEVANT,"The generated answer fully lists the ingredients of Calippo ice pops, thereby directly answering the question."
How many calories are in Friendly's Premium Ice Cream per 100g?,0029839403486,basic,Friendly's Premium Ice Cream contains 202.247 kcal per 100g.,,1287,1.0,0029839403486|0029839006809|0011110004635|0041000214899|0070640018338,True,60,RELEVANT,The generated answer provides the exact calorie information for Friendly's Premium Ice Cream per 100g.
Does Biocoop's Confiture abricot extra contain any allergens?,3760121215321,basic,Biocoop's Confiture abricot extra contains no allergens.,,1254,,3760121215321|3700910203450|7613312248416|5400113672784|3350060000340,True,56,RELEVANT,"The answer clearly states that Biocoop's Confiture abricot extra contains no allergens, directly addressing the question."
What are the ingredients in the orange carrot vegetable coating?,4260749410003,basic,"The ingredients in the orange carrot vegetable coating (Gemüsepanade Orange Carrot) are: 50% KAROTTE, KARTOFFEL, KURKUMAEXTRAKT. It may contain traces of celery.",,1257,0.0,4260749410003|4056489957263|0032601042004|01800074|0848860050861,True,161,RELEVANT,The generated answer fully lists the ingredients of the orange carrot vegetable coating and mentions possible traces of celery.
Does HSN’s Evowhey & oats contain gluten?,5060326279400,basic,"Yes, HSN’s Evowhey & oats contains gluten.",,1227,,5060326279400|5060179300092|5060343741423|8714443805246|0077890648445,True,42,NON_RELEVANT,The generated answer incorrectly asserts that HSN’s Evowhey & oats contains gluten without verified evidence.
What are the main ingredients in HSN's Evowhey & oats protein powder?,5060326279400,basic,"The main ingredients in HSN's Evowhey & oats protein powder are:

- Harina de avena (gluten)
- Proteína concentrada de suero de leche (emulgente: lecitina de girasol)
- Cacao desgrasado en polvo
- Aroma
- Cloruro sódico
- Corrector de acidez (carbonato de potasio)
- Espesante (goma xantana)
- Edulcorante (sucralosa)",,1717,,5060326279400|0041268215539|00001247|0041260381591|5056329509484,True,317,RELEVANT,The generated answer fully lists the main ingredients of HSN's Evowhey & oats protein powder.
Does Ökovital's Bio Smoothies contain any allergens like gelatine?,4038857130010,basic,"Yes, Ökovital's Bio Smoothies contain Schweinegelatine (pork gelatin), which is an allergen.",,1373,,4038857130010|4335619226753|5999076238316|0838766006567|5060179300092,True,92,RELEVANT,"The answer directly addresses the question by confirming the presence of an allergen, specifically mentioning that Ökovital's Bio Smoothies contain pork gelatin."
Does Niederegger's Mouss au Chocolat contain milk or nuts?,4000161020691,basic,Niederegger's Mouss au Chocolat contains milk and nuts (hazelnuts).,,1451,,4000161020691|4316268553933|4311501440773|4021851636718|4061458021869,True,67,RELEVANT,The generated answer fully addresses the question by clearly stating that Niederegger's Mouss au Chocolat contains both milk and nuts.
What is the sugar content per 100g in Biocoop's apricot spread?,3760121215321,basic,The sugar content in Biocoop's apricot spread is 61g per 100g.,,1119,,3760121215321|7613312248416|7613356654655|5400113672784|0084380957543,True,62,RELEVANT,The generated answer provides the exact sugar content per 100g for Biocoop's apricot spread.
What are the ingredients in Hacendado's Pérolas pasta?,8402001019890,basic,The ingredients in Hacendado's Pérolas pasta are: Sêmola de trigo-duro (gluten).,,1342,,8402001019890|8422623125106|8480000635563|8480000633224|8029342000020,True,80,PARTLY_RELEVANT,The answer lists one ingredient but does not provide a complete list of all ingredients in Hacendado's Pérolas pasta.
How many calories are in 100 grams of Loyd Grossman Korma Sauce?,5000354159558,basic,Loyd Grossman Korma Sauce contains 128 kcal per 100 grams.,,1555,1.0,5000354159558|5011308505017|8712100698514|5059697765766|7610800230106,True,58,RELEVANT,The generated answer fully and accurately provides the calorie content of Loyd Grossman Korma Sauce per 100 grams.
Does the Tomato & Sausage Pasta Sauce by Marks & Spencer contain celery?,00089227,basic,"Yes, the Tomato & Sausage Pasta Sauce by Marks & Spencer contains celery.",,1304,,00089227|00575300|00418881|00278355|00278386,True,73,RELEVANT,"The generated answer directly and accurately states that the Tomato & Sausage Pasta Sauce by Marks & Spencer contains celery, fully addressing the question."
What are the ingredients in Franprix's Cidre de Normandie brut?,3263855096186,basic,The ingredients in Franprix's Cidre de Normandie brut are fruits à cidre de Normandie and sulfites.,,1665,,3263855096186|3266191018645|3307131002208|3560071489441|3270160680856,True,99,RELEVANT,"The answer provides the ingredients in Franprix's Cidre de Normandie brut, addressing the question fully."
Can I find a frozen baby food pureed vegetable option suitable for infants starting from 4 months?,3760234500185,basic,"Yes, you can find a frozen baby food pureed vegetable option suitable for infants starting from 4 months. The product is ""Purée surgelée de potiron bio lisse pour bébé dès 4 mois"" by Yooji, which contains 95% potiron and is free from allergens.",,1527,0.667,3760234500185|3256226762216|0015000047917|5060503502673|0015000073282,True,244,RELEVANT,The generated answer fully addresses the question by confirming the availability of a suitable frozen baby food puree for infants starting from 4 months.
Do Proper Chips contain any sugar?,5391528181230,basic,"Yes, Proper Chips contain 0.5 g of sugar per 100 g.",,1127,1.0,4260353173493|0008400048028|8906076133265|5391528181230|0071026005201,True,51,RELEVANT,"The answer directly states the sugar content in Proper Chips, fully addressing the question."
Which beverage from La Vie Claire is specifically made for Vata balance?,3266191019338,basic,"The beverage from La Vie Claire specifically made for Vata balance is the ""Infusion ayurvédique Vata - La paix intérieure.""",,1323,,3266191019338|3266191018645|3760019004495|3266191035581|3266191151250,True,123,RELEVANT,The generated answer fully specifies the beverage from La Vie Claire that is made for Vata balance.
Does Nestlé Clusters almond cereal contain any allergens?,7613287308870,basic,"Yes, Nestlé Clusters almond cereal contains allergens, specifically gluten and nuts. It may also contain milk and peanuts.",,1619,,7613287308870|0850047220875|9310055536708|7613038379173|5011476102131,True,122,PARTLY_RELEVANT,The answer identifies some allergens but does not provide complete information about all possible allergens or explicitly mention if it contains the major allergens recognized by regulatory standards.
How many calories are in 100 grams of Pesto alla Genovese by Naturello?,8029175097709,basic,Pesto alla Genovese by Naturello contains 546 calories per 100 grams.,,1325,1.0,8029175097709|8029175095606|8029065003346|20069490|4061461781811,True,69,RELEVANT,The generated answer fully provides the requested information about the calorie content in 100 grams of Pesto alla Genovese by Naturello.
How many calories are in Remia honey mustard dressing per 100g?,8710448536956,basic,The Remia honey mustard dressing contains 291 kcal per 100g.,,1303,1.0,8710448536956|0026700683558|8711200442881|8710448697589|40122786,True,60,RELEVANT,The generated answer fully provides the calorie content of Remia honey mustard dressing per 100g.
How many calories are there in 100g of Hähnchen Cordon Bleu by Edeka?,4311596465880,basic,The Hähnchen Cordon Bleu by Edeka has 149 kcal per 100g.,,2045,1.0,4311596465880|4056489116585|4043362513302|4061458041201|4311501740736,True,56,RELEVANT,The generated answer fully answers the question by providing the calorie content for 100g of Hähnchen Cordon Bleu by Edeka.
How much salt is in Dijon mustard with chili from Penny?,25809633,basic,The Dijon mustard with chili from Penny contains 6 g of salt per 100g.,,997,1.0,25809633|28079484|4311501641996|3036810100576|5000128919234,True,70,RELEVANT,The generated answer fully answers the question by providing the specific amount of salt in the Dijon mustard with chili from Penny.
How many calories are there in 100g of Galletas con Arroz Sin Sal by Macrobiotica?,7790538009585,basic,There are 370 calories in 100g of Galletas con Arroz Sin Sal by Macrobiotica.,,1278,1.0,7790538009585|8431876291834|3329480131019|8480010197488|8414807501110,True,77,RELEVANT,The generated answer fully provides the calorie content of 100g of Galletas con Arroz Sin Sal by Macrobiotica as requested.
Does clever spaghetti contain gluten?,9003740067129,basic,"Yes, Clever Spaghetti contains gluten.",,1005,,9003740067129|8008343235723|8076809571586|21106507|0002409400072,True,38,RELEVANT,The generated answer fully addresses the question by confirming that Clever Spaghetti contains gluten.
What are the main ingredients in let's party Pigs in Blankets?,4088600192710,basic,"The main ingredients in let's party Pigs in Blankets are:

1. Pork Sausage (70%) - made from Pork (57%), Water, Wheat Flour, Pork Fat, Pork Rind, Salt, Stabilisers (Diphosphates, Triphosphates), Sugar, Preservative (Sodium Sulphite), Yeast Extract, Ground White Pepper, Ground Nutmeg, Ground Ginger, Ground Mace, Pepper Extract, Nutmeg Extract, Mace Extract, Antioxidant (Ascorbic Acid).
2. Smoked Streaky Bacon With Added Water (30%) - made from Pork Belly (87%), Water, Salt, Preservatives (Sodium Nitrite, Potassium Nitrate), Antioxidant (Sodium Ascorbate).",,1625,0.0,4088600192710|4335619072459|5055496712116|5000169071663|50339518,True,560,RELEVANT,The generated answer fully lists the main ingredients of 'let's party Pigs in Blankets' along with their composition.
What are the main ingredients in Agidra Crevettes?,3580282330035,basic,"The main ingredients in Agidra Crevettes are crevette (Metapenaeopsis spp., Metapenaeus spp., Parapenaeopsis sport.), water, salt, sugar, flavor enhancers (E640, E627, E631), acidifier (E330), and antioxidants (sodium metabisulfite, E385).",,1146,,3580282330035|5704025024847|3267180364781|3596710430628|7611654605898,True,239,RELEVANT,The generated answer fully lists the main ingredients in Agidra Crevettes.
What are the ingredients in Kania Thousand Island Salad Dressing?,20121129,basic,"The ingredients in Kania Thousand Island Salad Dressing are: water, rapeseed oil, sugar, tomato concentrate (7%), vinegar, pickled cucumber (6%) (cucumber, water, vinegar, salt), red bell pepper (4.2%), modified corn starch, mustard (2%) (water, vinegar, mustard seeds, sugar, salt), egg yolk, onion, salt, colorant (titanium dioxide), acidity regulator (lactic acid), stabilizer (xanthan gum), preservative (potassium sorbate), white pepper, turmeric, paprika extract.",,1547,1.0,20121129|20061319|0011110048677|0027271121340|0021000644216,True,469,RELEVANT,The generated answer fully lists all the ingredients in Kania Thousand Island Salad Dressing.
How many calories are in 100g of Organic Arrabbiata sauce by Classico Italiano?,8029363759419,basic,The Organic Arrabbiata sauce by Classico Italiano contains 47 kcal per 100g.,,1090,1.0,8029363759419|8016013001462|80022138|8056737782032|0041129395905,True,76,RELEVANT,The generated answer fully answers the question by providing the specific calorie content of 100g of Organic Arrabbiata sauce by Classico Italiano.
Is Kruidvat's Curcuma en gélules suitable for vegetarians?,8719179095879,basic,"Kruidvat's Curcuma en gélules is not suitable for vegetarians as it contains gélatine, which is an ingredient derived from animal sources.",,1400,,8719179095879|3478820033145|8720182086396|8711200339495|8076809571586,True,138,RELEVANT,The generated answer directly addresses the question by stating that Kruidvat's Curcuma en gélules is not suitable for vegetarians due to the presence of gélatine.
How many calories are there in 100g of GOLDEN muesli avec pommes et amandes?,3168930010975,basic,There are 371 calories in 100g of GOLDEN muesli avec pommes et amandes.,,1647,1.0,3168930010975|3263851864017|2273107027180|3273120034034|3347431924350,True,71,RELEVANT,The generated answer fully answers the question by providing the exact number of calories in 100g of GOLDEN muesli avec pommes et amandes.
How much fat is in Amy's California Scramble with Cheddar Cheese?,0042272014248,basic,The California Scramble with Cheddar Cheese by Amy's contains 11.4286 g of fat per 100 g.,,1838,1.0,0042272014248|0042272001651|0042272011490|0042272008339|0043695071085,True,89,RELEVANT,The generated answer fully answers the question by providing the specific amount of fat in Amy's California Scramble with Cheddar Cheese.
What baby food has turkey and sweet potatoes from Gerber?,0015000073282,basic,"The baby food from Gerber that contains turkey and sweet potatoes is ""Mealtime for Baby power blend Turkey Rice.""",,1443,,0015000073282|0015000047917|0015000081096|0015000047450|0015000074920,True,113,NON_RELEVANT,"The generated answer incorrectly names a product that does not contain sweet potatoes, failing to address the question accurately."
What are the ingredients in Exotic Food's coconut cream?,8853662002125,basic,"The ingredients in Exotic Food's coconut cream are:

- Kokosnussextrakt 85%
- Wasser
- Verdickungsmittel: Guarkernmehl
- Natrium-Carboxymethylcellulose
- Emulgator: Polysorbat 60. 

Allergens: none declared.",,2140,0.0,8853662002125|0814668000346|3580282816201|8428532192758|8050515301200,True,207,RELEVANT,"The generated answer fully lists the ingredients in Exotic Food's coconut cream and includes information about allergens, directly addressing the question."
What is the main ingredient of Crème de la cream's Oats on the Go?,8714443805246,basic,The main ingredient of Crème de la cream's Oats on the Go is instant oats (Avoine instantanée).,,1315,,8714443805246|0011110028051|5060343741423|6211144555521|0077890648445,True,95,RELEVANT,The generated answer fully answers the question by identifying the main ingredient of Crème de la cream's Oats on the Go as instant oats.
Can you recommend a type of chip with a high protein content?,8906076133265,basic,"For a chip with high protein content, I recommend:

1. **Product 1 (Unnamed Protein Chips)** - Protein: 37 g per 100 g.
2. **Product 2 (The Baker's Dozen Protein Chips)** - Protein: 22.22 g per 100 g.
3. **Product 3 (The Baker's Dozen Protein Chips Korean Kimchi)** - Protein: 22.22 g per 100 g.

The highest protein content is in Product 1.",,1489,1.0,4260353173493|8906076133265|8906076133289|0008400048028|5055936873728,True,341,RELEVANT,"The generated answer provides specific recommendations for chips with high protein content, effectively answering the question."
Are Roots kettle cooked potato chips made with avocado oil?,0850023976093,basic,"Yes, Roots kettle cooked potato chips are made with avocado oil.",,1032,,0850023976093|0708163121920|5391528181230|0011110836700|0011110109965,True,64,RELEVANT,The generated answer fully answers the question by confirming that Roots kettle cooked potato chips are made with avocado oil.
What is the energy content of Franprix Cidre de Normandie brut per 100g?,3263855096186,basic,The energy content of Franprix Cidre de Normandie brut per 100g is 0 kcal.,,1051,,3263855096186|3596710548101|3307131002208|3266191018645|3270160680856,True,74,RELEVANT,"The answer provides the energy content of Franprix Cidre de Normandie brut as 0 kcal, fully addressing the question."
What is the calorie content of Great Value Rosée Pasta Sauce per 100g?,0628915408539,basic,The calorie content of Great Value Rosée Pasta Sauce is 96 kcal per 100g.,,1371,1.0,0628915408539|0194346052912|0078742346342|0605388927163|0810159831345,True,73,RELEVANT,The generated answer fully provides the calorie content of Great Value Rosée Pasta Sauce per 100g.
What is the energy content per 100g in Blue Dragon's Thai Red Curry Paste?,5010338206079,basic,The energy content per 100g in Blue Dragon's Thai Red Curry Paste is 145 kcal.,,1441,1.0,5010338206079|0672774105870|5057753892357|2000000041075|0044738205610,True,78,RELEVANT,The generated answer fully provides the requested energy content of Blue Dragon's Thai Red Curry Paste per 100g.
What are the ingredients in Verfeuille's flower honey?,3527860000492,basic,The ingredients in Verfeuille's flower honey (Miel de fleurs des Cevennes VERFEUILLE) are: miel toutes fleurs récolté en France.,,974,,3527860000492|3335440071035|3770006547010|3770001125015|3760121219527,True,128,RELEVANT,The generated answer fully provides the requested information about the ingredients in Verfeuille's flower honey.
How much fat is in a 100g serving of Proper Chips by Strong Roots?,5391528181230,basic,A 100g serving of Proper Chips by Strong Roots contains 2.1 g of fat.,,1059,1.0,5391528181230|0850023976093|0008400048028|4260353173493|5099839046414,True,69,RELEVANT,The generated answer fully addresses the question by providing the specific amount of fat in a 100g serving of Proper Chips by Strong Roots.
What are the main ingredients in GOLDEN's muesli with apples and almonds?,3168930010975,basic,"The main ingredients in GOLDEN's muesli with apples and almonds are: whole oats (62%), whole rye (21%), wheat flakes (which include whole wheat flour, corn flour, inulin, barley malt extract, and salt), dried apples (3.5%), raisins, dried dates, sunflower seeds, sliced almonds (1%), oligofructose, and natural flavor.",,1718,1.0,3168930010975|4251680811066|4316268552394|0055712465777|3465511311378,True,318,RELEVANT,The generated answer fully lists the main ingredients in GOLDEN's muesli with apples and almonds.
What are the main ingredients in a sweet snack that contains 48.5% cashews?,8016225365963,basic,"The main ingredients in the sweet snack that contains 48.5% cashews are:

- Cashews
- Pitted Dates

(Note: The specific product with 48.5% cashews is not explicitly listed in the provided context, but the second product has 51% cashews and includes pitted dates.)",,1264,0.333,0196633976796|4056489239925|0021130294244|0888670173695|0061200002423,False,263,PARTLY_RELEVANT,"The answer lists cashews and pitted dates as ingredients, but it does not specify that pitted dates are part of the snack with 48.5% cashews, leaving the response incomplete."
